Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
age Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
201,CA-2021-105074,6/24/2021,6/29/2021,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
202,CA-2018-133690,8/3/2018,8/5/2018,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
203,CA-2018-133690,8/3/2018,8/5/2018,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925
204,US-2021-116701,12/17/2021,12/21/2021,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
205,CA-2021-126382,6/3/2021,6/7/2021,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
206,CA-2021-108329,12/9/2021,12/14/2021,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
207,CA-2021-135860,12/1/2021,12/7/2021,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744
208,CA-2021-135860,12/1/2021,12/7/2021,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
209,CA-2021-135860,12/1/2021,12/7/2021,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
210,CA-2021-135860,12/1/2021,12/7/2021,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
211,CA-2021-135860,12/1/2021,12/7/2021,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
212,CA-2019-101007,2/9/2019,2/13/2019,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,6.5
213,CA-2019-146262,1/2/2019,1/9/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68,2,0.2,8.88
214,CA-2019-146262,1/2/2019,1/9/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323
215,CA-2019-146262,1/2/2019,1/9/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982,3,0.4,-14.6958
216,CA-2019-146262,1/2/2019,1/9/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188,9,0.7,-950.4
217,CA-2019-146262,1/2/2019,1/9/2019,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,4.4792
218,CA-2020-130162,10/28/2020,11/1/2020,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0,26.0568
219,CA-2020-130162,10/28/2020,11/1/2020,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,3,0.2,22.6782
220,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148
221,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,0.2,8.2302
222,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776,4,0.7,-13.8432
223,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.0848
224,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,0.7,-383.9904
225,CA-2019-169397,12/24/2019,12/27/2019,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,0.2,2.7168
226,CA-2019-163055,8/9/2019,8/16/2019,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1,0,0.968
